task,dataset,repeat,seed,method,final_utility,normalized_auc,utility_at_call_10,utility_at_call_20,utility_at_call_60,calls_to_95pct_oracle_gain,reached_95pct_oracle_gain,final_utility_matches_oracle,base_utility,oracle_utility,final_gap_to_oracle
classification,red,0,31000,Data-Bandit,0.7708333333333334,0.7679861111111113,0.7708333333333334,0.7708333333333334,0.7708333333333334,7,1,0,0.6666666666666666,0.775,0.004166666666666652
classification,red,0,31000,Data-All,0.775,0.75625,0.75,0.7625,0.775,25,1,1,0.6666666666666666,0.775,0.0
classification,red,0,31000,Data-Alt,0.775,0.768611111111111,0.7625,0.775,0.775,11,1,1,0.6666666666666666,0.775,0.0
classification,red,0,31000,AutoML,0.6625,0.6625000000000001,0.6625,0.6625,0.6625,61,0,0,0.6666666666666666,0.775,0.11250000000000004
classification,red,1,31001,Data-Bandit,0.7583333333333333,0.7558333333333332,0.7583333333333333,0.7583333333333333,0.7583333333333333,5,1,1,0.6708333333333333,0.7583333333333333,0.0
classification,red,1,31001,Data-All,0.7583333333333333,0.7446527777777777,0.7416666666666667,0.7541666666666667,0.7583333333333333,18,1,1,0.6708333333333333,0.7583333333333333,0.0
classification,red,1,31001,Data-Alt,0.7583333333333333,0.7546527777777777,0.7541666666666667,0.7583333333333333,0.7583333333333333,9,1,1,0.6708333333333333,0.7583333333333333,0.0
classification,red,1,31001,AutoML,0.6666666666666666,0.6666666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,61,0,0,0.6708333333333333,0.7583333333333333,0.09166666666666667
classification,red,2,31002,Data-Bandit,0.7708333333333334,0.7661111111111113,0.7666666666666667,0.7708333333333334,0.7708333333333334,61,0,0,0.6583333333333333,0.7791666666666667,0.008333333333333304
classification,red,2,31002,Data-All,0.7791666666666667,0.7513194444444447,0.7458333333333333,0.7291666666666666,0.7791666666666667,29,1,1,0.6583333333333333,0.7791666666666667,0.0
classification,red,2,31002,Data-Alt,0.7791666666666667,0.7689583333333335,0.7291666666666666,0.7791666666666667,0.7791666666666667,17,1,1,0.6583333333333333,0.7791666666666667,0.0
classification,red,2,31002,AutoML,0.65,0.6499999999999999,0.65,0.65,0.65,61,0,0,0.6583333333333333,0.7791666666666667,0.12916666666666665
classification,red,3,31003,Data-Bandit,0.7583333333333333,0.7541666666666665,0.7583333333333333,0.7583333333333333,0.7583333333333333,8,1,1,0.6416666666666667,0.7583333333333333,0.0
classification,red,3,31003,Data-All,0.7583333333333333,0.7388888888888888,0.7291666666666666,0.7416666666666667,0.7583333333333333,24,1,1,0.6416666666666667,0.7583333333333333,0.0
classification,red,3,31003,Data-Alt,0.7583333333333333,0.7501388888888888,0.7416666666666667,0.7583333333333333,0.7583333333333333,18,1,1,0.6416666666666667,0.7583333333333333,0.0
classification,red,3,31003,AutoML,0.6416666666666667,0.6411111111111112,0.6416666666666667,0.6416666666666667,0.6416666666666667,61,0,0,0.6416666666666667,0.7583333333333333,0.11666666666666659
classification,red,4,31004,Data-Bandit,0.7166666666666667,0.7156944444444446,0.7166666666666667,0.7166666666666667,0.7166666666666667,2,1,0,0.6541666666666667,0.7208333333333333,0.004166666666666652
classification,red,4,31004,Data-All,0.7208333333333333,0.7093749999999999,0.725,0.7166666666666667,0.7208333333333333,7,1,1,0.6541666666666667,0.7208333333333333,0.0
classification,red,4,31004,Data-Alt,0.7125,0.7114583333333333,0.7,0.7125,0.7125,2,1,0,0.6541666666666667,0.7208333333333333,0.008333333333333304
classification,red,4,31004,AutoML,0.6125,0.615972222222222,0.6125,0.6125,0.6125,61,0,0,0.6541666666666667,0.7208333333333333,0.10833333333333328
classification,red,5,31005,Data-Bandit,0.7125,0.7088888888888889,0.7041666666666667,0.7125,0.7125,61,0,0,0.675,0.7375,0.025000000000000022
classification,red,5,31005,Data-All,0.7375,0.7090277777777776,0.7041666666666667,0.7083333333333334,0.7375,54,1,1,0.675,0.7375,0.0
classification,red,5,31005,Data-Alt,0.7083333333333334,0.7077083333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,61,0,0,0.675,0.7375,0.029166666666666674
classification,red,5,31005,AutoML,0.6541666666666667,0.6555555555555557,0.6541666666666667,0.6541666666666667,0.6541666666666667,61,0,0,0.675,0.7375,0.08333333333333337
classification,red,6,31006,Data-Bandit,0.7666666666666667,0.76375,0.7666666666666667,0.7666666666666667,0.7666666666666667,3,1,0,0.6166666666666667,0.7541666666666667,-0.012500000000000067
classification,red,6,31006,Data-All,0.7541666666666667,0.7466666666666669,0.7458333333333333,0.7666666666666667,0.7541666666666667,13,1,1,0.6166666666666667,0.7541666666666667,0.0
