repeat,seed,method,forced_is_normalized,forced_oos_normalized,realized_is_normalized,realized_oos_normalized,welfare_is,welfare_oos,prices
0,20260716,MILP (IS),0.7807187054504382,0.855106219699645,0.4392646641805685,0.413390112398712,0.7140260314253646,0.5736426536406675,0.236305 0.356902 0.604271 0.919082
0,20260716,Independent,0.4570755088846762,0.5307670412427067,0.4570755088846762,0.5084169415644654,0.7140260314253646,0.5736426536406675,0.123207 0.252569 0.412349 0.519925
0,20260716,Shift,0.6609383272260869,0.7646266095973596,0.40904346816958864,0.37711067894475475,0.7140260314253646,0.5736426536406675,0.236305 0.377943 0.733454 1.273801
0,20260716,Jiggle,0.6609383272260869,0.7646266095973596,0.40904346816958864,0.37711067894475475,0.7140260314253646,0.5736426536406675,0.236305 0.377943 0.733454 1.273801
0,20260716,OOS-informed MILP,0.7714530565671486,0.8568884250530436,0.4891825953719173,0.464541913065543,0.7140260314253646,0.5736426536406675,0.236305 0.356902 0.708715 1.023526
1,20260717,MILP (IS),0.762304440079902,0.8670205842445118,0.4439718008039357,0.41131472913966505,0.6824719142473858,0.5493151300375714,0.220926 0.407065 0.623318 0.998237
1,20260717,Independent,0.45231478869120273,0.5063597994828812,0.45231478869120273,0.49995004624203115,0.6824719142473858,0.5493151300375714,0.123788 0.218726 0.288122 0.727846
1,20260717,Shift,0.6518792559203437,0.758249548355966,0.45052980193887476,0.41879682629200926,0.6824719142473858,0.5493151300375714,0.220926 0.309927 0.780030 1.271546
1,20260717,Jiggle,0.6518792559203437,0.758249548355966,0.45052980193887476,0.41879682629200926,0.6824719142473858,0.5493151300375714,0.220926 0.309927 0.780030 1.271546
1,20260717,OOS-informed MILP,0.7623044400799021,0.8670205842445117,0.44397180080393595,0.4113147291396651,0.6824719142473858,0.5493151300375714,0.220926 0.407065 0.623318 0.998237
2,20260718,MILP (IS),0.8092739195614468,0.8649761604081874,0.3339094704574905,0.323909433082973,0.7139569020564513,0.5849793415934136,0.228004 0.356732 0.559304 0.767040
2,20260718,Independent,0.4793137726182708,0.5690331081197694,0.4793137726182708,0.5437391938989912,0.7139569020564513,0.5849793415934136,0.121199 0.279780 0.417255 0.713863
2,20260718,Shift,0.6315087554169789,0.7417130188888456,0.3433123320468399,0.32071201970504093,0.7139569020564513,0.5849793415934136,0.228004 0.397718 0.758747 1.213395
2,20260718,Jiggle,0.6315087554169789,0.7417130188888456,0.3433123320468399,0.32071201970504093,0.7139569020564513,0.5849793415934136,0.228004 0.397718 0.758747 1.213395
2,20260718,OOS-informed MILP,0.8045877270999399,0.8833641045839763,0.3517514020212123,0.34368845190995856,0.7139569020564513,0.5849793415934136,0.228004 0.397718 0.600289 0.808026
3,20260719,MILP (IS),0.7957915873538532,0.8710131431643021,0.4281329870205435,0.40483669974379516,0.6973266834568203,0.5654241314532913,0.230564 0.378679 0.594598 0.913743
3,20260719,Independent,0.5015594571003881,0.6116648032839349,0.5015594571003881,0.5824580204886242,0.6973266834568203,0.5654241314532913,0.126602 0.259590 0.530704 0.696483
3,20260719,Shift,0.5767217475162403,0.6942882888949307,0.2950959036164859,0.28256904956147955,0.6973266834568203,0.5654241314532913,0.230564 0.378679 0.755282 1.285988
3,20260719,Jiggle,0.7505649019748902,0.834902608550409,0.46893905807513586,0.4458770152836997,0.6973266834568203,0.5654241314532913,0.230564 0.378679 0.681688 1.000833
3,20260719,OOS-informed MILP,0.7899871168921542,0.8753013269998718,0.35627373745052876,0.35824335333840207,0.6973266834568203,0.5654241314532913,0.230564 0.378679 0.594598 0.760377
4,20260720,MILP (IS),0.7737076371394785,0.8451645209470593,0.42510634524221885,0.41565203821622404,0.7619626504568109,0.6106460606235912,0.221935 0.376398 0.594522 0.822008
4,20260720,Independent,0.5665499588557003,0.6047244252562443,0.5665499588557003,0.5873870392735393,0.7619626504568109,0.6106460606235912,0.122699 0.256158 0.435208 0.733518
4,20260720,Shift,0.631205410122421,0.7328078042710818,0.4104106752826296,0.38517905565285404,0.7619626504568109,0.6106460606235912,0.221935 0.376398 0.806075 1.333335
4,20260720,Jiggle,0.631205410122421,0.7328078042710818,0.4104106752826296,0.38517905565285404,0.7619626504568109,0.6106460606235912,0.221935 0.376398 0.806075 1.333335
4,20260720,OOS-informed MILP,0.7737076371394785,0.8521977764872394,0.42510634524221885,0.44270938931769277,0.7619626504568109,0.6106460606235912,0.221935 0.376398 0.734990 0.822008
5,20260721,MILP (IS),0.772807576761029,0.8509351665846872,0.48166616033488124,0.45014423578500384,0.6493737517204966,0.529772986148429,0.219501 0.354445 0.651063 0.985553
5,20260721,Independent,0.4320272776046557,0.5142205766013248,0.4320272776046557,0.5062313417575092,0.6493737517204966,0.529772986148429,0.153788 0.232488 0.313992 0.362269
5,20260721,Shift,0.6047625729883455,0.6929169153205319,0.5041633912407064,0.5113458086123072,0.6493737517204966,0.529772986148429,0.197035 0.288732 0.505159 0.729640
5,20260721,Jiggle,0.6183243773294661,0.7074381679943815,0.48582445491829657,0.4940378613888038,0.6493737517204966,0.529772986148429,0.219501 0.288732 0.505159 0.729640
5,20260721,OOS-informed MILP,0.7650145500565964,0.8652115209460682,0.5017350492724363,0.47284528589253516,0.6493737517204966,0.529772986148429,0.219501 0.395508 0.692126 1.026616
6,20260722,MILP (IS),0.8025087630008255,0.9023487271776736,0.3631010126927289,0.3631823111519844,0.6770464204591232,0.5503434798270945,0.223479 0.410657 0.618304 0.823268
6,20260722,Independent,0.4749933806385959,0.575940887209221,0.4749933806385959,0.5444900826284729,0.6770464204591232,0.5503434798270945,0.111784 0.242629 0.506609 0.711573
6,20260722,Shift,0.5283817747814479,0.6782184792090251,0.29686746590187324,0.2874984107166347,0.6770464204591232,0.5503434798270945,0.223479 0.426652 0.782739 1.307239
6,20260722,Jiggle,0.5368143085352052,0.7063057489914278,0.3052999996556307,0.33506689682411633,0.6770464204591232,0.5503434798270945,0.223479 0.426652 0.692214 1.307239
6,20260722,OOS-informed MILP,0.8025087630008253,0.9023487271776731,0.3631010126927288,0.36318231115198424,0.6770464204591232,0.5503434798270945,0.223479 0.410657 0.618304 0.823268
7,20260723,MILP (IS),0.8028363073599276,0.8595742622314778,0.5141319994623504,0.4844084871752531,0.7739068062438683,0.6185772245789074,0.237835 0.366233 0.593098 0.919105
7,20260723,Independent,0.4736967948104899,0.5479368813888517,0.4736967948104899,0.5296281299371668,0.7739068062438683,0.6185772245789074,0.122845 0.223887 0.542081 0.996959
7,20260723,Shift,0.6995720332416334,0.781023088046397,0.4678342827082715,0.43677470850489936,0.7739068062438683,0.6185772245789074,0.237835 0.366233 0.785129 1.319668
7,20260723,Jiggle,0.6995720332416334,0.781023088046397,0.4678342827082715,0.43677470850489936,0.7739068062438683,0.6185772245789074,0.237835 0.366233 0.785129 1.319668
7,20260723,OOS-informed MILP,0.8028363073599248,0.8595742622314732,0.5141319994623503,0.48440848717525264,0.7739068062438683,0.6185772245789074,0.237835 0.366233 0.593098 0.919105
8,20260724,MILP (IS),0.8654146203353321,0.9328390741531394,0.40529708032790746,0.39303416720759804,0.6974805804598423,0.570295034423236,0.221203 0.396946 0.623261 0.864230
8,20260724,Independent,0.49987675350041805,0.5653747651158827,0.49987675350041805,0.554707760938927,0.6974805804598423,0.570295034423236,0.117259 0.221203 0.426504 0.760287
8,20260724,Shift,0.5222815099136868,0.6220054500377645,0.400745314399278,0.36971045921527007,0.6974805804598423,0.570295034423236,0.221203 0.293003 0.765916 1.250704
8,20260724,Jiggle,0.5222815099136868,0.6220054500377645,0.400745314399278,0.36971045921527007,0.6974805804598423,0.570295034423236,0.221203 0.293003 0.765916 1.250704
8,20260724,OOS-informed MILP,0.8654146203353309,0.9328390741531378,0.4052970803279069,0.3930341672075976,0.6974805804598423,0.570295034423236,0.221203 0.396946 0.623261 0.864230
9,20260725,MILP (IS),0.7604942057923251,0.8292995221942375,0.4283936852327908,0.4155189230844587,0.6979555268440446,0.5661807339347914,0.229244 0.343184 0.486220 0.622353
9,20260725,Independent,0.5424184066664793,0.6282050232330589,0.5424184066664793,0.6112732476240801,0.6979555268440446,0.5661807339347914,0.159592 0.264699 0.416569 0.552702
9,20260725,Shift,0.6499160030806415,0.7395681466661809,0.4289031175777508,0.39900497742946023,0.6979555268440446,0.5661807339347914,0.229244 0.308339 0.811202 1.356077
9,20260725,Jiggle,0.6499160030806415,0.7395681466661809,0.4289031175777508,0.39900497742946023,0.6979555268440446,0.5661807339347914,0.229244 0.308339 0.811202 1.356077
9,20260725,OOS-informed MILP,0.7604942057923251,0.8314469931115658,0.42839368523279076,0.4172271081273102,0.6979555268440446,0.5661807339347914,0.229244 0.394624 0.486220 0.622353
